uid,name
کیلونیوتنبرمیلیمترمربع,کیلو(\u200c|\s*)نیوتن(\u200c|\s*)بر(\u200c|\s*)میلی(\u200c|\s*)متر(\u200c|\s*)مربع
کیلوگرمبرمترمربع,کیلو(\u200c|\s*)گرم(\u200c|\s*)بر(\u200c|\s*)متر(\u200c|\s*)مربع
کیلوگرمبرسانتیمترمربع,کیلو(\u200c|\s*)گرم(\u200c|\s*)بر(\u200c|\s*)سانتی(\u200c|\s*)متر(\u200c|\s*)مربع
کیلوگرمبرمیلیمترمربع,کیلو(\u200c|\s*)گرم(\u200c|\s*)بر(\u200c|\s*)میلی(\u200c|\s*)متر(\u200c|\s*)مربع
گرمبرمترمربع,گرم(\u200c|\s*)بر(\u200c|\s*)متر(\u200c|\s*)مربع
گرمبرسانتیمترمربع,گرم(\u200c|\s*)بر(\u200c|\s*)سانتی(\u200c|\s*)متر(\u200c|\s*)مربع
گرمبرمیلیمترمربع,گرم(\u200c|\s*)بر(\u200c|\s*)میلی(\u200c|\s*)متر(\u200c|\s*)مربع
تنبرمترمربع,تن(\u200c|\s*)بر(\u200c|\s*)متر(\u200c|\s*)مربع
لیتر(L),لیتر
لیتر(L),L
میلیلیتر(mL),میلی(\u200c|\s*)لیتر
میلیلیتر(mL),mL
مترمکعب,متر(\u200c|\s*)مکعب
سانتیمترمکعب,سانتی(\u200c|\s*)متر(\u200c|\s*)مکعب
سیسی(cc),سی(\u200c|\s*)سی
سیسی(cc),cc
میلیمترمکعب,میلی(\u200c|\s*)متر(\u200c|\s*)مکعب
فوتمکعب,فوت(\u200c|\s*)مکعب
گالنآمریکایی(gal-us),گالن(\u200c|\s*)آمریکایی
گالنآمریکایی(gal-us),gal-us
گالنانگلیسی(gal-uk),گالن(\u200c|\s*)انگلیسی
گالنانگلیسی(gal-uk),gal-uk
دسیمترمکعب,دسی(\u200c|\s*)متر(\u200c|\s*)مکعب
اینچمکعب,اینچ(\u200c|\s*)مکعب
یاردمکعب,یارد(\u200c|\s*)مکعب
بشکه-نفتآمریکایی(us-barrel),بشکه(\u200c|\s*)نفت(\u200c|\s*)آمریکایی
بشکه-نفتآمریکایی(us-barrel),us-barrel
سانتیگراد(C),سانتی(\u200c|\s*)گراد
سانتیگراد(C),C
فارنهایت(F),فارنهایت
فارنهایت(F),F
کلوین(K),کلوین
کلوین(K),K
رانکین(R),رانکین
رانکین(R),R
مترمربع,متر(\u200c|\s*)مربع
سانتیمترمربع,سانتی(\u200c|\s*)متر(\u200c|\s*)مربع
میلیمترمربع,میلی(\u200c|\s*)متر(\u200c|\s*)مربع
