qid,id,conversion_factor
energy,کیلوژول(kj),0.001
energy,مگاژول(Mj),1e-06
energy,گیگاژول(Gj),1e-09
energy,میلیواتساعت(mW.h),0.2777777777777778
energy,واتساعت(W.h),0.0002777777777777778
energy,کیلوواتساعت(kW.h),2.7777777777777776e-07
energy,مگاواتساعت(MW.h),2.7777777777777777e-10
energy,گیگاواتساعت(GW.h),2.777777777777778e-13
energy,کالری(cal),0.2390057361376673
energy,میلیکالری(mcal),239.0057361376673
energy,کیلوکالری(kcal),0.0002390057361376673
energy,اسببخار-ساعت(hp.h),3.7250613599861897e-07
energy,واحدگرماییانگلیسی(BTU),0.0009478133944988911
energy,فوتپوند(ft.lb),0.7375621492772654
energy,فوتپوندال(ft-pdl),23.730322360196435
energy,اینچپوندنیرو(in.lbf),8.850745793490558
energy,ارگ(erg),10000000.0
energy,لیتراتمسفر(L.atm),0.009869232667160128
energy,گالناتمسفرانگلیسی(impgal.atm),0.0021709276910840147
energy,گالناتمسفرآمریکایی(usgal.atm),0.002607175448883774
energy,هارتری(Eh),2.2937123163853187e+17
energy,ریدبرگ(Ry),4.5874246325601926e+17
energy,الکترونولت(ev),6.25e+18
energy,مگاالکترونولت(Mev),6250000000000.0
energy,ترماستاندارد(Ec-therm),9.478169879134377e-09
energy,ترمآمریکایی(us-therm),9.480434279733487e-09
energy,بشکهنفت(BOE),1.6339869281045752e-10
energy,تننفت(toe),2.3884589662749594e-11
energy,تنتیانتی(tonofTNT),2.390057361376673e-10
power,وات(W),1.0
power,میلیوات(mW),1000.0
power,کیلووات(kW),0.001
power,مگاوات(MW),1e-06
power,گیگاوات(GW),1e-09
power,اسببخار(hp),0.0013410218586562962
power,ژولبرثانیه(j/s),1.0
power,ژولبردقیقه(j/min),60.0
power,ژولبرساعت(j/h),3599.9999999999995
power,کالریبرثانیه(cal/s),0.2390057361376673
power,کالریبردقیقه(cal/min),14.340344168260037
power,کالریبرساعت(cal/h),860.4206500956022
power,لیتراتمسفربرساعت(L.atm/h),35.52927967938378
power,لیتراتمسفربردقیقه(L.atm/min),0.5921539600296077
power,لیتراتمسفربرثانیه(L.atm/s),0.009869232667160128
power,ارگبرثانیه(erg/s),10000000.0
power,فوتپوندبرساعت(ft.lb/h),2655.224419567942
power,فوتپوندبردقیقه(ft.lb/min),44.253728947868865
power,فوتپوندبرثانیه(ft.lb/s),0.7375621483695507
power,BTUبرثانیه(BTU/s),0.0009478133944988911
power,BTUبردقیقه(BTU/min),0.056868803669933465
power,BTUبرساعت(BTU/h),3.4121282201960077
torque,نیوتن-متر(N.m),1.0
torque,فوت-پوندنیرو(ft.lbf),0.7375621492772653
torque,متر-کیلوگرمنیرو(m.Kgf),0.10197162129779283
torque,متر-کیلوپوند(m.Kp),0.10197162129779283
torque,سانتیمتر-کیلوگرمنیرو(cm.Kgf),10.197162129779283
torque,سانتیمتر-گرمنیرو(cm.gf),10197.162129779283
torque,اینچ-اونسنیرو(in.ozf),141.61193266123496
torque,اینچ-پوندنیرو(in.lbf),8.850745791327185
torque,فوتپوندال(ft.pdl),23.730360404122013
time,ثانیه(s),1.0
time,کیلوثانیه(ks),0.001
time,میلیثانیه(ms),1000.0
time,میکروثانیه(μs),1000000.0
time,نانوثانیه(ns),1000000000.0
time,پیکوثانیه(ps),1000000000000.0
time,دقیقه(min),0.016666666666666666
time,ساعت(h),0.0002777777777777778
time,روز(Day),1.1574074074074073e-05
time,هفته(Week),1.6534391534391535e-06
